Unnamed: 0,year,name,Name (reporting),id,age,ioc,height,hand,high_rank,high_pts,tourney_plyd,tourney_win_pct,avg_tourney_level,matches_played,match_wins,match_win_pct,finals,titles,final_win_pct,slam_finals,slams,atp_finals_finals,atp_finals,masters_finals,masters,500_finals,500_titles,250_finals,250_titles,olympic_g,aces_per_game,df_per_game,sv_game_win_pct,return_game_win_pct,1st_pct,1st_win_pct,2nd_win_pct,1st_return_win_pct,2nd_return_win_pct,bp_per_game,bp_faced_per_game,bp_conversion_rate,bp_saved_rate,tb_win_pct,no1_faced,no1_win_pct,top_5_faced,top_5_win_pct,top_10_faced,top_10_win_pct,top_20_faced,top_20_win_pct,top_50_faced,top_50_win_pct,top_100_faced,top_100_win_pct,matches_w_stats,matches_w_minutes,avg_opponent_rank,avg_opponent_pts,sets_w_stats,sets_w_mins,minutes_per_match,minutes_per_set,English short name lower case,Alpha-2 code,Alpha-3 code,Numeric code,ISO 3166-2,country,latitude,longitude,country_code,Continent
1,1991-2023,Aaron Krickstein,A. Krickstein,101381,28,USA,183,R,14,1389,112,0.017857143,779.0178571,242,134,0.553719008,4,2,0.5,0,0,0,0,1,0,0,0,3,2,0,0.341455045,0.180851064,0.74811256,0.284464661,0.586031452,0.686135228,0.506641837,0.305170576,0.535944472,0.676696991,0.625600549,0.420372285,0.597366978,0.489795918,4,0,16,0.25,27,0.222222222,57,0.421052632,111,0.486486486,174,0.494252874,233,213,79.09876543,870.4855967,616,542,98.23943662,38.60701107,United States Of America,US,USA,840,ISO 3166-2:US,United States,37.09024,-95.712891,US,North America
2,1991-2023,Abedallah Shelbayh,A. Shelbayh,209406,19.4,JOR,,L,240,249,5,0,400,6,1,0.166666667,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.35,0.4,0.65,0.225806452,0.556900726,0.665217391,0.426229508,0.305676856,0.475,0.419354839,0.833333333,0.538461538,0.58,0,0,,0,,0,,0,,1,0,4,0,6,6,86.16666667,710.3333333,13,13,95,43.84615385,Jordan,JO,JOR,400,ISO 3166-2:JO,Jordan,30.585164,36.238414,JO,Asia
4,1991-2023,Adam Pavlasek,A. Pavlasek,106361,23.6,CZE,186,R,86,662,9,0,1138.888889,15,6,0.4,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.50990099,0.242574257,0.727722772,0.208955224,0.614797864,0.692307692,0.459405941,0.301460823,0.443496802,0.44278607,0.643564356,0.471910112,0.576923077,0,0,,1,0,1,0,3,0,5,0.2,8,0.5,15,15,86.8,1195.733333,45,45,102.7333333,34.24444444,Czech Republic,CZ,CZE,203,ISO 3166-2:CZ,Czech Republic,49.817492,15.472962,CZ,Europe
7,1991-2023,Adrian Mannarino,A. Mannarino,105173,35,FRA,183,L,22,1735,307,0.009771987,752.4429967,575,270,0.469565217,13,3,0.230769231,0,0,0,0,0,0,1,0,12,3,0,0.388070479,0.211438475,0.763575968,0.218543995,0.604514186,0.695946448,0.509151887,0.284029812,0.498584388,0.530524506,0.582033507,0.411939492,0.593796526,0.455645161,1,0,22,0.136363636,61,0.163934426,120,0.191666667,258,0.348837209,432,0.407407407,573,540,80.37152778,1385.972222,1463,1376,107.6981481,42.26526163,France,FR,FRA,250,ISO 3166-2:FR,France,46.227638,2.213749,FR,Europe
8,1991-2023,Adrian Menendez Maceiras,A. Menendez Maceiras,104629,33.4,ESP,185,R,114,477,18,0,583.3333333,24,6,0.25,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.37458194,0.197324415,0.705685619,0.153594771,0.606271777,0.667487685,0.481668774,0.250844595,0.468619247,0.411764706,0.655518395,0.373015873,0.551020408,0.5625,0,,0,,0,,0,,9,0.222222222,17,0.176470588,24,21,111.875,776.0833333,64,56,113.6666667,42.625,Spain,ES,ESP,724,ISO 3166-2:ES,Spain,40.463667,-3.74922,ES,Europe
9,1991-2023,Adrian Ungur,A. Ungur,104494,33.1,ROU,178,R,79,625,28,0,776.7857143,60,18,0.3,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.216981132,0.301886792,0.688679245,0.156133829,0.614224751,0.650301065,0.474188791,0.259560229,0.455510204,0.421933086,0.709433962,0.370044053,0.561170213,0.409090909,0,,2,0,3,0,6,0,19,0.157894737,38,0.131578947,43,43,134.0833333,1062.55,113,113,103.2093023,39.27433628,Romania,RO,ROU,642,ISO 3166-2:RO,Romania,45.943161,24.96676,RO,Europe
10,1991-2023,Adrian Voinea,A. Voinea,102437,28.9,ROU,185,R,36,957,169,0.00591716,644.9704142,312,136,0.435897436,2,1,0.5,0,0,0,0,0,0,0,0,2,1,0,0.447866629,0.263916361,0.725911274,0.225356125,0.568460447,0.689973515,0.493421053,0.288788901,0.49649838,0.556125356,0.626730715,0.40522541,0.562669071,0.519685039,3,0.333333333,11,0.272727273,29,0.137931034,61,0.180327869,138,0.311594203,226,0.367256637,291,280,88.32692308,906.4198718,749,709,92.9,36.68829337,Romania,RO,ROU,642,ISO 3166-2:RO,Romania,45.943161,24.96676,RO,Europe
11,1991-2023,David Goffin,D. Goffin,105676,30.5,BEL,180,R,282,168,2,0,250,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.763157895,0.342105263,0.763157895,0,0.6,0.672316384,0.43220339,0.16,0.35,0.12195122,0.921052632,0,0.742857143,0,0,,0,,0,,0,,2,0,5,0,4,3,60.8,977.2,8,6,69.33333333,34.66666667,Belgium,BE,BEL,56,ISO 3166-2:BE,Belgium,50.503887,4.469936,BE,Europe
12,1991-2023,Agustin Calleri,A. Calleri,102860,32.6,ARG,183,R,16,1375,187,0.016042781,758.0213904,396,209,0.527777778,9,3,0.333333333,0,0,0,0,1,0,2,2,6,1,0,0.576120052,0.283601566,0.787733797,0.241758242,0.553437713,0.74403444,0.49847561,0.306366552,0.506132115,0.604826546,0.535450196,0.399714998,0.60357433,0.48447205,2,0.5,16,0.375,39,0.282051282,75,0.346666667,181,0.419889503,313,0.482428115,381,380,80.80952381,911.8220551,967,964,102.7684211,40.51037344,Argentina,AR,ARG,32,ISO 3166-2:AR,Argentina,-38.416097,-63.616672,AR,South America
13,1991-2023,Aisam Ul Haq Qureshi,A. Ul Haq Qureshi,103529,41.9,PAK,183,R,,,10,0,600,72,40,0.555555556,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.941935484,0.374193548,0.861290323,0.121710526,0.608427544,0.793918919,0.49343832,0.22326775,0.443559097,0.375,0.387096774,0.324561404,0.641666667,0.530612245,0,,0,,0,,2,0.5,10,0.3,13,0.230769231,23,23,420.0410959,243.5342466,60,60,122.7826087,47.06666667,Pakistan,PK,PAK,586,ISO 3166-2:PK,Pakistan,30.375321,69.345116,PK,Asia
